AR,Level,time,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,AVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11756,0,201305221500,0.03324897757707794,-0.27003090355874537,-0.007231910040242178,0.4247578220683619,-0.2183106831801175,-0.04107867375106481,-0.11925323436497233,-0.38662264836901394,0.5373438197244865,-0.2420629648317568
11756,0,201305221500,0.03324897757707794,-0.27003090355874537,-0.007231910040242178,0.4247578220683619,-0.2183106831801175,-0.04107867375106481,-0.11925323436497233,-0.38662264836901394,0.5373438197244865,-0.2420629648317568
11756,0,201305221536,0.027568175539042547,-0.2665420575394773,-0.052240915038673764,0.4842071617283011,-0.20671798673668584,-0.03646287040435037,-0.11245760679489013,-0.3552543004836421,0.6238173821973223,-0.2832900561123382
11756,0,201305221612,0.05564576484440177,-0.2525866734624051,-0.05545584396713316,0.5122636997895494,-0.2146879655415451,-0.04569447709777906,-0.10111494556896898,-0.3003851136175863,0.6543791881945539,-0.24200117756292666
11756,0,201305221648,0.0887181470884672,-0.24212013540460095,-0.029736412539457968,0.5074642811163529,-0.2451187937055533,-0.04107867375106481,-0.06984313579458255,-0.2541958925166505,0.611169772253651,-0.22303875163812534
11756,0,201305221724,0.12570013597232435,-0.24212013540460095,-0.013661767897160976,0.567231292892785,-0.23135246667897816,-0.04107867375106481,-0.06747530224749186,-0.20476991610019912,0.7454777815961268,-0.25404161080685955
11756,0,201305221824,0.12926658502014005,-0.24037571239496705,-0.023306554682539168,0.35489556099346703,-0.5907260564253602,-0.03184706705763611,-0.04941020965728524,-0.14780389958921325,0.7304907124490728,-0.292077822575558
11756,0,201305221900,0.11751834709231387,-0.2333980203564309,-0.023306554682539168,0.3135155312078908,-0.38423115102673344,-0.04107867375106481,-0.052906223463932964,-0.11208951231600953,0.6008453691647959,-0.29248633125331874
11756,0,201305221936,0.14012840800290247,-0.22293148229862675,-0.0040169811117827785,0.3885513961499748,-0.4030692827473099,-0.013383853670778914,-0.03330879389067363,-0.13371765887108653,0.7323588535440346,-0.2912248387271585
11756,0,201305222012,0.19821139939150487,-0.2089760982215546,0.0602815974574052,0.4779849510020863,-0.13788635160381024,0.03277417979636399,-0.0230691220223145,-0.1852144853043791,0.8433920467151328,-0.2926146915065101
11756,0,201305222048,0.21840760350875876,-0.1880430221059463,0.13422496281197135,0.5483094722792721,-0.0002230813380590375,0.06046899987664987,0.004349662940555634,-0.2107089368604369,0.661628507013797,-0.32679212930376306
11756,0,201305222124,0.19612829151955008,-0.18280975307704425,0.08921595781353978,0.6317097276952689,0.07223127143338896,0.06508480322336413,0.019199947429362915,-0.21545188073812496,0.7491918378921498,-0.31629167305408235
11756,0,201305222200,0.1927864718544934,-0.18106533006741016,0.09243088674199916,0.7239486622929877,0.2678580239162985,0.06970060657007839,0.015831334258336396,-0.23348620896174546,0.7244833887792009,-0.2725743162901371
11756,0,201305222236,0.19871148044774328,-0.17932090705777626,0.08921595781353978,0.6307960215705548,0.22438541225342976,0.07893221326350708,0.025221564057297623,-0.2521787458195507,0.6709470045332799,-0.3114664569629469
11756,0,201305222312,0.1774348588299933,-0.17408763802887414,0.08921595781353978,0.6440561407683374,0.35480324724203616,0.06508480322336413,0.02796615884273612,-0.21482582633736455,0.7541265065566499,-0.2448423832475281
11756,0,201305222348,0.1603549512279386,-0.1758320610385081,0.08921595781353978,0.6179561831701648,0.23163084753057456,0.06046899987664987,0.02290434490783233,-0.22221360324106174,0.7948022961629548,-0.2373361945904217
11756,0,201305230024,0.18637438467976897,-0.16536552298070395,0.08600102888508038,0.7381056947953764,0.23887628280771936,0.04662158983650694,0.04406733190294545,-0.17804665605007974,0.7565737586546619,-0.2192688741733356
11756,0,201305230100,0.2171502384879961,-0.15315456191326587,0.10850553138429618,0.7287587365237451,0.2678580239162985,0.05585319652993544,0.05789880570468683,-0.16855284246822613,0.7788828516637183,-0.19011634196974556
11756,0,201305230136,0.21734422880004345,-0.1601322539518019,0.11815031816967438,0.6076265750942897,-0.02920482244663824,0.06508480322336413,0.07107737905897825,-0.18350768887288876,0.621236720920187,-0.23904833217893656
11756,0,201305230212,0.17989893186649494,-0.16710994599033802,0.06992638424278337,0.6080081064857367,0.12294931837340255,0.06508480322336413,0.062030700172330235,-0.17550783393553068,0.7120564591799691,-0.28613673960056324
11756,0,201305230248,0.20673439304359936,-0.16187667696143596,0.08921595781353978,0.6770202746912954,0.3475578119648913,0.06970060657007839,0.07496805370113586,-0.17141331189485398,0.7231336007352004,-0.2630046301728395
11756,0,201305230324,0.20684574050757207,-0.16710994599033802,0.10207567352737737,0.7464214051376526,0.41276672945919457,0.06046899987664987,0.07046792305752221,-0.17311649852036598,0.5757836377641403,-0.2618532311918195
11756,0,201305230400,0.23631788808319046,-0.16187667696143596,0.11493538924121498,0.7002872454438845,0.3765395530734705,0.05585319652993544,0.08515748534423964,-0.12602873634914574,0.4596686616784395,-0.2445387700915765
11756,0,201305230436,0.2461426412696948,-0.17059879200960604,0.12779510495505256,0.6044343361784548,0.10845844781911296,0.03277417979636399,0.0916872078251788,-0.0967561683303628,0.3941073692281174,-0.27100120741912903
11756,0,201305230512,0.2572562923147717,-0.1880430221059463,0.098860744598918,0.6252140013984407,0.3620486825191809,0.01892676975622104,0.08043970773445362,-0.07023712595553942,0.5548593847738091,-0.32973879743339823
11756,0,201305230548,0.23526034734737986,-0.19502071414448235,0.0570666685289458,0.5851996871241921,0.19540367114485052,-0.004152246977350411,0.08346934096374141,-0.022221579229648063,0.5278328771769479,-0.3065533309588188
