AR,Level,time,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,AVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11850,0,201309280524,-0.5505356997254677,-0.6555483886878645,-0.4669667468099362,-0.7077695663724674,-0.3494530616964384,-0.34110589128749425,-0.019633349967246142,-1.171430456388599,-0.8059163949275856,-1.3157111645148458
11850,0,201309280600,-0.5140798703076859,-0.6520595426685963,-0.4155278839545858,-0.6651180071572284,-0.34293216994700804,-0.3180268745539228,-0.018311358532766137,-1.190931308254107,-0.6047700101335446,-1.3048936141166934
11850,0,201309280636,-0.5111932168413623,-0.6590372347071325,-0.4348174575253422,-0.6576681508093991,-0.455960960270467,-0.35956910467435144,-0.02489872378422768,-1.1434316679365066,-0.6281000053603185,-1.3847776907341502
11850,0,201309280712,-0.5463904079263521,-0.6695037727649366,-0.5184056096652866,-0.6703168190367194,-0.7501256325225458,-0.42880615487506607,-0.024182365725369515,-1.054013531467388,-0.5117301221298874,-1.4087988683053805
11850,0,201309280748,-0.5624727796219907,-0.6695037727649366,-0.521620538593746,-0.7207678374119063,-0.5704388376493548,-0.43342195822178026,-0.032163826438297884,-1.0580387967678522,-0.5717485744218451,-1.40899659198322
11850,0,201309280824,-0.5680163761671448,-0.6677593497553026,-0.5151906807368272,-0.7274241094707672,-0.599420578757934,-0.4195745481816373,-0.038680210179882935,-1.0787779528496917,-0.6226174567511055,-1.4257016547929724
11850,0,201309280900,-0.5888334913062149,-0.6660149267456685,-0.5151906807368272,-0.7787628900688423,-0.6139114493122235,-0.4103429414882088,-0.05032964218541704,-1.1134830116496974,-0.5866210160773555,-1.3956912278605835
11850,0,201309280936,-0.5966423895340199,-0.6677593497553026,-0.5087608228799084,-0.7706801397107382,-0.6008696658133629,-0.3734165147144944,-0.062591988758639,-1.1801677376652984,-0.39333384369958097,-1.4228193066800794
11850,0,201309281012,-0.5919742990779839,-0.6712481957745705,-0.4991160360945302,-0.7239641533747403,-0.4784218096296158,-0.3641849080210657,-0.07922114937129977,-1.2069137158730694,-0.5153124375342214,-1.4288325729705664
11850,0,201309281048,-0.5903911192199562,-0.6660149267456685,-0.473396604666855,-0.7664521353641465,-0.3545248663904397,-0.34110589128749425,-0.08367794680935425,-1.2183089333181665,-0.4124866086347686,-1.4400717007311996
11850,0,201309281124,-0.5577294352006671,-0.6642705037360345,-0.4283875996684234,-0.7809649638273254,-0.3798838898604465,-0.3272584812473513,-0.07670172545050215,-1.2297280332205291,-0.5770818561520078,-1.4322762928779322
11850,0,201309281200,-0.5516149173742435,-0.6642705037360345,-0.4348174575253422,-0.7640965564900618,-0.4458173508824642,-0.3272584812473513,-0.09009780419223123,-1.2231382620240503,-0.4700612350964584,-1.4294294032358077
11850,0,201309281236,-0.547951690490486,-0.6625260807264004,-0.4380323864538016,-0.7661481503219217,-0.3182976900047157,-0.3180268745539228,-0.1069563223549706,-1.2249783325876984,-0.4784995405772006,-1.4217183270528426
11850,0,201309281312,-0.5519163678755575,-0.6660149267456685,-0.441247315382261,-0.7739200746799045,-0.4479909814656077,-0.3180268745539228,-0.11219245005048713,-1.2347577359814643,-0.5610546366967155,-1.45304326487684
11850,0,201309281348,-0.5565062169803906,-0.6695037727649366,-0.4541070310960986,-0.7374965363532063,-0.416835609773885,-0.30417946451377986,-0.10462786792163667,-1.2585266334757592,-0.33251305278254506,-1.5395599750888578
11850,0,201309281424,-0.5556833207161874,-0.6729926187842046,-0.4541070310960986,-0.7498019416664342,-0.4110392615521692,-0.2949478578203512,-0.11368072570877405,-1.2775772807419872,-0.8085736180410146,-1.6049850429976782
