AR,Level,time,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,AVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
12108,0,201407031436,-0.6766486185487858,-0.6677593497553026,-0.7209461321582287,-0.4920648019217619,-0.6465159080593752,-0.4611167783020661,-0.7367073937233445,-0.9600617363622344,-0.5071482872887301,-1.3853330251644145
12108,0,201407031512,-0.6582597033284606,-0.6625260807264004,-0.6920117718020941,-0.4728282376183252,-0.6153605363676525,-0.4472693682619232,-0.7365217304045986,-0.9727377835899278,-0.4454776743397115,-1.4117215931320797
12108,0,201407031548,-0.6404033753512832,-0.6555483886878645,-0.6534326246605813,-0.4463621261749071,-0.581306990565072,-0.4241903515283517,-0.7412711013090143,-0.9967923305426318,-0.2926404628528993,-1.3600905182642915
12108,0,201407031624,-0.6206168226493965,-0.6468262736396944,-0.6052086907336903,-0.4892117922571175,-0.5479779882902059,-0.3964955314480659,-0.7398746697984264,-1.030027193862415,-0.5624766992576858,-1.310971612731722
12108,0,201407031700,-0.6067753148401486,-0.6433374276204262,-0.5569847568067994,-0.46789020410882703,-0.5834806211482154,-0.35956910467435144,-0.7275444888083432,-1.086502699057532,-0.34180074976948105,-1.3382983355589675
12108,0,201407031736,-0.6233385577211177,-0.6415930046107922,-0.5601996857352588,-0.5134764861423966,-0.5639179458999245,-0.35956910467435144,-0.7354649634700587,-1.0929987512925845,-0.3115785389275563,-1.2791115656475602
12108,0,201407031812,-0.6403193796091772,-0.6520595426685963,-0.5955639039483122,-0.5652557771720914,-0.7204193478862522,-0.36880071136778003,-0.7470290326001097,-1.1129538231595282,-0.3860169502699082,-1.3429395813824372
12108,0,201407031848,-0.6359913001951977,-0.6572928116974985,-0.6019937618052309,-0.5680374824274226,-0.7117248255536783,-0.3826481214079229,-0.7294057597106367,-1.1052639701522389,-0.32690947261066444,-1.3321482198922006
12108,0,201407031924,-0.6294573362454865,-0.6590372347071325,-0.6180684064475279,-0.5461063789272067,-0.7283893266911114,-0.3872639247546373,-0.7093476814762162,-1.0826066877153502,-0.12255199327457444,-1.3838048504809264
12108,0,201407032000,-0.6206625578136904,-0.6590372347071325,-0.6309281221613655,-0.5825205659969043,-0.6986830420548177,-0.4195745481816373,-0.7029381967582032,-1.0233501646130287,-0.05585219331161111,-1.3140141939632457
12108,0,201407032036,-0.6198806830105947,-0.6625260807264004,-0.6502176957321221,-0.5465166909055548,-0.6363722986713725,-0.4472693682619232,-0.7120374033779473,-0.9631353966831172,-0.2129149795484924,-1.3271272385852733
12108,0,201407032112,-0.6111073549891431,-0.6660149267456685,-0.6727221982313377,-0.6065452490034094,-0.6646294962522372,-0.4565009749553517,-0.7101668125498093,-0.9338182106989658,-0.08016289041047751,-1.3903834938416542
12108,0,201407032148,-0.5997781836396725,-0.6590372347071325,-0.6502176957321221,-0.5649007251586274,-0.7711373948262658,-0.4518851716086375,-0.7110152635680647,-0.9139364730067471,-0.09108263891237443,-1.299456606877302
12108,0,201407032224,-0.5641363679103487,-0.6468262736396944,-0.5923489750198527,-0.5916129215189809,-0.7950473312408436,-0.4103429414882088,-0.6949854421449951,-0.9374117952161556,-0.15555333778274932,-1.3162592025695845
12108,0,201407032300,-0.5389349762206085,-0.6415930046107922,-0.5505548989498805,-0.5919564288654264,-0.7660655901322644,-0.3734165147144944,-0.6909000299984795,-0.9830633842688532,-0.1959630983280856,-1.3610148313620265
12108,0,201407032336,-0.5428205184873792,-0.6346153125722561,-0.5505548989498805,-0.6620921229753347,-0.7993945924071304,-0.35956910467435144,-0.6837669616497595,-0.990843639892354,-0.25447350847112743,-1.2861551744040405
