AR,Level,time,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,AVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11465,0,201204212136,-0.7051196429062125,-0.2822418646261835,-0.7048714875159316,-0.76785797225059,-0.2668550995369877,-0.6780595355976381,-0.8404316426037679,1.1644997622466404,0.2507631437756934,1.3641067997268026
11465,0,201204212212,-0.679385223211468,-0.2822418646261835,-0.6823669850167159,-0.7709580993207786,-0.3516266922795818,-0.6780595355976381,-0.8321962563851985,1.1727437908544829,0.3198981949302768,1.3644460848700612
11465,0,201204212248,-0.664797481092568,-0.2839862876358176,-0.6727221982313377,-0.7518325594724171,-0.3748120851664452,-0.6734437322509238,-0.8257794884525662,1.2117271902686009,0.2840433254870845,1.340282646382681
11465,0,201204212324,-0.650329528251529,-0.2787530186069155,-0.6598624825175001,-0.7808740313466201,-0.4914635931284764,-0.6688279289042096,-0.8161602004414225,1.2158766061730926,0.38994083032697896,1.3547894680707953
11465,0,201204220000,-0.6336556847530661,-0.27003090355874537,-0.6534326246605813,-0.7232914678672117,-0.3958238474701651,-0.6688279289042096,-0.8023016234134922,1.2841257023295771,0.33886534943432234,1.346986830105756
11465,0,201204220036,-0.6152734972727435,-0.25956436550094125,-0.6180684064475279,-0.7038492454830355,-0.2972859277009958,-0.6595963222107809,-0.7941998066182665,1.2845914460341696,0.4167723097410453,1.3235839743438225
11465,0,201204220112,-0.6025753930576093,-0.2613087885105752,-0.6212833353759873,-0.6701708585320378,-0.4255301321064588,-0.6549805188640666,-0.7877513746016371,1.2592039406466398,0.34621817382887154,1.3094852416630296
11465,0,201204220148,-0.5917053547635792,-0.2613087885105752,-0.6180684064475279,-0.6534355093906008,-0.3711893675278728,-0.6595963222107809,-0.7870314325782397,1.2739124088463003,0.4666357170267239,1.3522254804803302
11465,0,201204220224,-0.559886076842331,-0.2647976345298433,-0.5827041882344746,-0.5828344454438651,-0.4117638050798837,-0.6549805188640666,-0.7903483877141114,1.2085892357960286,0.5174177945936091,1.281419228863132
11465,0,201204220300,-0.5698543775950949,-0.2647976345298433,-0.5891340460913933,-0.5631918253007495,-0.48928996254533297,-0.6549805188640666,-0.7796058564961421,1.143069181589551,0.4886933470973668,1.3144045449215127
11465,0,201204220336,-0.5635129102644735,-0.2665420575394773,-0.585919117162934,-0.5556438007931033,-0.5885524258422168,-0.6457489121706379,-0.7717280951273835,1.1470140100104669,0.409760784666387,1.2764457144916368
11465,0,201204220412,-0.5232968618677568,-0.2630532115202093,-0.55376982787834,-0.5978641339851782,-0.6450668210039462,-0.6365173054772094,-0.7656254378204777,1.1174803812050615,0.6245333465858158,1.249190262012613
11465,0,201204220448,-0.5205821544989683,-0.2525866734624051,-0.5409101121645024,-0.5777169491186807,-0.5631934023722099,-0.6365173054772094,-0.7496958551527931,1.1826541994276738,0.7044316321791171,1.2496918859893362
11465,0,201204220524,-0.4934163974057251,-0.2490978274431371,-0.55376982787834,-0.5793800546810052,-0.4624818520198973,-0.6457489121706379,-0.745598160039773,1.3531914544598591,0.7248084357505258,1.1981943620354314
11465,0,201204220600,-0.4849797134954827,-0.24735340443350304,-0.5891340460913933,-0.5888273209536924,-0.48928996254533297,-0.6595963222107809,-0.7427964109304468,1.5901916793764683,0.6946084687410761,1.1585391206145417
11465,0,201204220636,-0.4645038765888064,-0.24386455841423504,-0.5794892593060151,-0.4208479279609322,-0.23569972784526505,-0.6595963222107809,-0.7435646818661822,1.5506546650388648,0.6910979973279214,1.298736642381726
11465,0,201204220712,-0.4692050731576118,-0.2299091743371629,-0.5634146146637181,-0.3674219623021603,-0.2081670737921148,-0.6549805188640666,-0.7456906220775209,1.4990968059243206,0.6791868555634841,1.3105800440359112
11465,0,201204220748,-0.486924428266221,-0.22293148229862675,-0.5601996857352588,-0.4599327564677535,-0.3480039746410094,-0.6595963222107809,-0.7384762025878902,1.4432993692609195,0.7759754392506711,1.3540224356733397
11465,0,201204220824,-0.4750962287916132,-0.21420936725045667,-0.5280503964506648,-0.4472664068399416,-0.3255431252818605,-0.6549805188640666,-0.7363830378536151,1.3119587140805469,0.7751038039120047,1.367005021689981
11465,0,201204220900,-0.4479516221457848,-0.20374282919265246,-0.5087608228799084,-0.3914883220830314,-0.13064091632666544,-0.6457489121706379,-0.7323936666530033,1.3291846700358279,0.7443683704514485,1.3631645070639478
11465,0,201204220936,-0.41486555791909374,-0.2089760982215546,-0.5023309650229896,-0.3032335501902446,0.07947670671053376,-0.6411331088239237,-0.7361031215261286,1.312636489151499,0.6803185284792118,1.325631178283289
11465,0,201204221012,-0.3888963407104304,-0.1967651371541164,-0.473396604666855,-0.2428734116691861,0.18091280059056092,-0.6411331088239237,-0.7366203642638991,1.3797732735794963,0.7522711915425105,1.3082067561654132
11465,0,201204221048,-0.3788541388864104,-0.19502071414448235,-0.4701816757383956,-0.2536741631058152,0.10845844781911296,-0.6457489121706379,-0.7347445886202442,1.4199761814059155,0.7699202195866816,1.3241246350340037
11465,0,201204221124,-0.3762542132510587,-0.1967651371541164,-0.4798264625237738,-0.2528994342333377,0.13744018892769214,-0.6503647155173524,-0.7355704487288381,1.4368871322829868,0.7053759546219698,1.315972323241683
11465,0,201204221200,-0.37900284703940507,-0.1880430221059463,-0.4830413914522332,-0.3326625441701357,0.05774040087909936,-0.6503647155173524,-0.7240729165476737,1.506964775299963,0.7021768430477368,1.2767428632503015
11465,0,201204221236,-0.3549215475389292,-0.1758320610385081,-0.4766115335953144,-0.32149208879932234,0.09396757726482337,-0.6457489121706379,-0.7194454489788693,1.5601116648029745,0.7550417685086872,1.2636361431354148
11465,0,201204221312,-0.34028179552097404,-0.16362109997107002,-0.4669667468099362,-0.23602013427616625,0.15193105948198174,-0.6411331088239237,-0.7216407668152767,1.6063013630758836,0.7255508954136686,1.2660630751957005
11465,0,201204221348,-0.35484129215091,-0.16187667696143596,-0.473396604666855,-0.30317760322230736,0.18815823586770572,-0.6365173054772094,-0.7198051732390592,1.5418784942463375,0.7188105298323068,1.3261827945807172
11465,0,201204221424,-0.38051682728597824,-0.1548989849228998,-0.4798264625237738,-0.3464462009622987,0.06498583615624416,-0.6411331088239237,-0.7138323820603102,1.5755503254148595,0.8050967777094166,1.3538530728820035
11465,0,201204221500,-0.3888429901607288,-0.1479212928843638,-0.473396604666855,-0.3602841063937112,0.13019475365054736,-0.6365173054772094,-0.7119742602735851,1.5205182725967188,0.8570011104403769,1.434708583488581
11465,0,201204221536,-0.3861824597701224,-0.1391991778361937,-0.4830413914522332,-0.3180522907008547,0.07223127143338896,-0.6411331088239237,-0.6985928056038652,1.6031557022759408,0.9377564652497892,1.403812880171915
11465,0,201204221612,-0.37511013014908295,-0.12873263977838956,-0.5023309650229896,-0.3635028678070891,-0.0002230813380590375,-0.6457489121706379,-0.698344801123161,1.739024361604464,0.9063495550656894,1.5127035099439752
11465,0,201204221648,-0.3521126824185675,-0.12524379375912145,-0.4926861782376114,-0.3162909148673621,0.043249530324809764,-0.6411331088239237,-0.7010101421555145,1.795333231188906,1.018943816812151,1.5019001399890743
